Landmark,Location,Stop #
Grand Canyon,Arizona,1
Bryce Canyon National Park,Utah,2
Craters of the Moon National Monument,Idaho,3
Yellowstone National Park,Wyoming,4
Pikes Peak,Colorado,5
Carlsbad Caverns National Park,New Mexico,6
The Alamo,Texas,7
The Platt Historic District,Oklahoma,8
Toltec Mounds,Arkansas,9
Elvis Presley’s Graceland,Tennessee,10
Vicksburg National Military Park,Mississippi,11
French Quarter,"New Orleans, Lousiana",12
USS Alabama,Alabama,13
Cape Canaveral Air Force Station,Florida,14
Okefenokee Swamp Park,Georgia,15
Fort Sumter National Monument,South Carolina,16
Lost World Caverns,West Virginia,17
Wright Brothers National Memorial Visitor Center,North Carolina,18
Mount Vernon,Virginia,19
White House,"Washington, DC",20
Colonial Annapolis Historic District,Maryland,21
New Castle Historic District,Delaware,22
Cape May Historic District,New Jersey,23
Liberty Bell,Pennsylvania,24
Statue of Liberty,New York,25
The Mark Twain House & Museum,Connecticut,26
The Breakers,Rhode Island,27
USS Constitution,Massachusetts,28
Acadia National Park,Maine,29
Mount Washington Hotel,New Hampshire,30
Shelburne Farms,Vermont,31
Fox Theater,"Detroit, Michigan",32
Spring Grove Cemetery,Ohio,33
Mammoth Cave National Park,Kentucky,34
West Baden Springs Hotel,Indiana,35
Abraham Lincoln’s Home,Illinois,36
Gateway Arch,Missouri,37
C. W. Parker Carousel Museum,Kansas,38
Terrace Hill Governor’s Mansion,Iowa,39
Taliesin,Wisconsin,40
Fort Snelling,Minnesota,41
Ashfall Fossil Bed,Nebraska,42
Mount Rushmore,South Dakota,43
Fort Union Trading Post,North Dakota,44
Glacier National Park,Montana,45
Hanford Site,Washington,46
Columbia River Highway,Oregon,47
San Francisco Cable Cars,California,48
San Andreas Fault,California,49
Hoover Dam,Nevada,50
